dwt_denoise_wavelet,dwt_threshold,cwt_wavelet,cwt_scale,test_acc
coif4,0.2,gaus2,128,0.9329268336296082
coif4,0.2,gaus2,64,0.9247967600822448
coif4,0.2,mexh,128,0.9197154641151428
coif4,0.2,mexh,64,0.9171748161315918
coif4,0.2,morl,128,0.9319105744361876
coif4,0.2,morl,64,0.9197154641151428
coif4,0.3,gaus2,128,0.8770325183868408
coif4,0.3,gaus2,64,0.8993902206420898
coif4,0.3,mexh,128,0.8816056847572327
coif4,0.3,mexh,64,0.9105691313743592
coif4,0.3,morl,128,0.9034552574157716
coif4,0.3,morl,64,0.9181910753250122
db4,0.2,gaus2,128,0.9105691313743592
db4,0.2,gaus2,64,0.927845537662506
db4,0.2,mexh,128,0.9161585569381714
db4,0.2,mexh,64,0.9283536672592164
db4,0.2,morl,128,0.9141260385513306
db4,0.2,morl,64,0.9100610017776488
db4,0.3,gaus2,128,0.9222561120986938
db4,0.3,gaus2,64,0.9136179089546204
db4,0.3,mexh,128,0.894817054271698
db4,0.3,mexh,64,0.9009146094322203
db4,0.3,morl,128,0.9181910753250122
db4,0.3,morl,64,0.889735758304596
dmey,0.2,gaus2,128,0.9120935201644896
dmey,0.2,gaus2,64,0.8917682766914368
dmey,0.2,mexh,128,0.920223593711853
dmey,0.2,mexh,64,0.8943089246749878
dmey,0.2,morl,128,0.904979646205902
dmey,0.2,morl,64,0.9100610017776488
dmey,0.3,gaus2,128,0.9126016497612
dmey,0.3,gaus2,64,0.9146341681480408
dmey,0.3,mexh,128,0.9054877758026124
dmey,0.3,mexh,64,0.915142297744751
dmey,0.3,morl,128,0.915142297744751
dmey,0.3,morl,64,0.9095528721809388
haar,0.2,gaus2,128,0.9034552574157716
haar,0.2,gaus2,64,0.9065040946006776
haar,0.2,mexh,128,0.8851625919342041
haar,0.2,mexh,64,0.9146341681480408
haar,0.2,morl,128,0.9110772609710692
haar,0.2,morl,64,0.9054877758026124
haar,0.3,gaus2,128,0.9141260385513306
haar,0.3,gaus2,64,0.889735758304596
haar,0.3,mexh,128,0.8739837408065796
haar,0.3,mexh,64,0.8826219439506531
haar,0.3,morl,128,0.8927845358848572
haar,0.3,morl,64,0.8810975551605225
median,0.2,gaus2,128,0.9456300735473632
median,0.2,gaus2,64,0.9253048896789552
median,0.2,mexh,128,0.9242886304855348
median,0.2,mexh,64,0.9354674816131592
median,0.2,morl,128,0.9329268336296082
median,0.2,morl,64,0.9451219439506532
noisy,0.2,gaus2,128,0.9120935201644896
noisy,0.2,gaus2,64,0.9491869807243348
noisy,0.2,mexh,128,0.9395325183868408
noisy,0.2,mexh,64,0.9415650367736816
noisy,0.2,morl,128,0.9542682766914368
noisy,0.2,morl,64,0.9339430928230286
sym4,0.2,gaus2,128,0.9192073345184326
sym4,0.2,gaus2,64,0.932418704032898
sym4,0.2,mexh,128,0.9070122241973876
sym4,0.2,mexh,64,0.927845537662506
sym4,0.2,morl,128,0.9247967600822448
sym4,0.2,morl,64,0.8938007950782776
sym4,0.3,gaus2,128,0.897357702255249
sym4,0.3,gaus2,64,0.9059959053993224
sym4,0.3,mexh,128,0.9085366129875184
sym4,0.3,mexh,64,0.9115853905677797
sym4,0.3,morl,128,0.8953251838684082
sym4,0.3,morl,64,0.894817054271698
